bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,OTHER,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WRITE
Math_18,34,0,1,0,8,3,0,8,2,7,0,2,1,18
Math_21,33,0,0,0,6,10,1,2,5,14,0,3,0,15
Math_22,0,0,0,0,2,0,0,1,3,4,0,0,0,9
Math_23,1,1,0,0,0,0,0,2,1,5,0,2,0,7
Math_24,2,0,0,0,1,0,0,1,3,4,0,5,0,5
Math_26,3,0,0,0,0,1,0,1,1,7,0,0,0,9
Math_28,0,0,0,0,2,6,0,3,3,7,1,1,0,13
Math_29,0,0,0,0,1,2,0,2,1,3,0,0,0,5
Math_31,13,0,0,0,10,5,0,1,1,22,0,3,0,13
Math_35,2,0,0,0,0,0,0,1,1,3,0,0,0,3
Math_36,3,0,0,1,0,4,0,3,4,8,0,8,0,22
Math_37,0,0,0,0,0,1,0,6,2,3,0,1,0,13
Math_38,0,0,0,0,1,3,0,3,2,4,0,3,0,17
Math_4,3,1,0,0,0,2,1,1,3,6,0,2,0,13
Math_44,4,0,0,0,2,3,0,1,4,8,0,10,0,17
Math_46,20,1,0,0,13,5,0,4,3,9,1,1,0,19
Math_47,3,0,0,0,0,3,0,1,5,6,0,8,0,7
Math_49,1,0,0,0,0,1,0,0,1,7,0,0,0,8
Math_52,2,1,0,0,1,2,0,1,1,4,0,3,0,10
Math_54,3,0,0,0,2,1,0,5,1,9,0,7,0,18
Math_55,7,0,0,0,3,3,1,3,2,9,0,2,0,16
Math_6,0,0,0,0,7,0,0,1,2,6,0,0,0,24
Math_61,2,0,0,0,0,0,0,1,1,3,0,6,0,6
Math_62,1,0,0,0,0,1,0,2,3,6,0,4,0,7
Math_64,3,0,0,0,0,3,0,2,1,7,0,9,0,20
Math_65,1,0,0,0,0,0,0,2,1,5,0,2,0,4
Math_66,14,0,0,2,1,4,0,1,3,21,0,2,0,16
Math_68,6,0,0,0,0,5,0,6,2,8,0,11,0,35
Math_7,0,0,0,0,0,7,0,3,2,8,0,0,0,21
Math_71,3,0,0,0,2,4,0,6,3,7,0,4,0,26
Math_72,2,0,0,0,0,2,0,0,3,4,0,1,0,5
Math_76,26,1,0,0,12,2,1,9,4,12,0,4,0,32
Math_77,2,0,0,0,0,0,0,1,1,4,0,0,0,5
Math_78,2,0,0,0,0,1,0,2,1,6,0,6,0,7
Math_81,0,0,0,0,0,2,0,1,2,5,0,0,0,11
Math_83,28,0,0,0,16,3,0,3,3,12,0,13,0,10
Math_84,2,0,0,0,1,2,0,3,2,7,0,10,0,12
Math_86,2,0,0,0,1,4,0,2,3,5,0,2,0,7
Math_90,1,0,0,0,1,1,0,1,1,4,0,0,0,7
Math_92,1,0,0,0,0,0,0,1,1,3,0,0,0,7
Math_93,1,0,0,0,0,3,0,1,2,6,0,1,0,12
