bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
closure_173,4,0,0,0,0,16,0,9,7,16,0,0,1,0,11
closure_174,11,0,3,0,0,22,0,9,6,12,0,1,17,0,14
closure_175,12,0,1,0,0,20,0,20,5,19,0,0,8,0,19
closure_176,6,0,0,1,0,14,0,15,2,12,0,1,10,0,18
closure_21,8,1,0,2,0,18,0,3,12,7,0,3,6,0,10
closure_24,4,0,0,0,0,9,0,4,5,11,0,0,1,0,7
closure_25,3,0,0,0,0,9,0,1,5,6,0,0,0,0,8
closure_26,3,0,0,0,0,7,0,1,4,6,0,0,3,0,8
closure_27,2,0,0,0,0,6,0,0,3,6,0,0,0,0,9
closure_29,10,0,0,0,0,17,0,5,7,13,0,3,3,0,13
closure_3,3,0,0,2,0,9,0,3,4,6,0,0,0,0,7
closure_30,7,0,0,0,0,22,0,8,4,18,0,0,7,0,14
closure_32,13,0,0,3,0,30,0,10,11,27,0,2,0,0,26
closure_34,14,1,0,1,0,23,0,14,11,13,0,2,0,0,12
closure_37,17,0,0,2,0,31,0,10,7,14,0,2,2,0,9
closure_39,6,0,0,0,0,11,0,7,4,5,0,0,0,0,10
closure_4,3,0,0,0,0,9,0,17,5,7,0,2,1,0,8
closure_41,4,1,0,0,0,17,0,6,4,10,0,0,0,0,9
closure_43,1,0,0,1,0,8,0,5,3,6,0,0,2,0,12
closure_45,3,0,0,0,0,7,0,0,3,7,0,0,1,0,7
closure_47,3,0,0,0,0,8,0,1,6,5,0,0,3,0,7
closure_49,6,0,0,0,0,17,0,2,4,9,0,1,8,0,13
closure_50,2,0,0,0,0,10,0,1,6,8,0,0,0,0,7
closure_51,2,0,0,0,0,6,0,8,6,6,0,1,0,0,6
closure_53,2,0,0,0,0,8,0,1,2,5,0,0,1,0,7
closure_54,14,1,0,0,0,30,0,11,6,31,0,1,24,0,15
closure_6,3,0,0,0,0,17,0,11,5,7,0,1,15,0,12
closure_60,4,0,0,0,0,13,0,9,4,10,0,0,1,0,8
closure_64,2,0,0,0,0,6,0,4,2,5,0,0,0,0,9
closure_68,3,0,0,0,0,13,0,3,4,9,0,0,0,0,13
closure_72,8,0,0,0,0,9,0,8,6,6,0,0,1,0,9
closure_74,8,1,0,2,0,19,0,10,9,12,0,2,0,0,5
closure_75,2,0,0,0,0,10,0,7,2,6,0,0,6,0,10
closure_76,4,0,0,1,1,5,0,1,2,10,0,1,2,0,8
closure_79,8,0,0,0,0,13,0,3,5,11,0,0,14,0,10
closure_80,3,0,0,0,0,8,0,6,3,9,0,0,0,0,7
closure_84,2,1,0,0,0,13,0,6,5,4,0,1,5,0,9
closure_85,5,0,0,0,0,12,0,3,4,6,0,1,8,0,9
closure_89,10,1,0,0,0,17,0,6,5,16,0,0,10,0,10
closure_9,6,0,0,0,0,13,0,2,10,6,0,0,1,0,6
closure_90,6,0,0,0,0,13,0,12,5,10,0,0,6,0,9
closure_98,12,0,0,0,0,13,0,8,4,14,0,0,0,0,16
closure_99,3,0,0,0,0,8,0,6,5,14,0,4,1,0,10
codec_1,2,0,0,0,0,9,0,4,8,4,0,0,0,0,11
codec_11,18,0,0,3,0,18,0,6,2,7,0,0,4,0,18
codec_12,1,0,0,0,0,6,0,3,2,6,0,0,1,0,7
codec_13,6,0,1,0,0,4,0,0,2,6,0,0,1,0,9
codec_14,4,1,0,0,0,10,0,2,7,4,0,2,3,0,8
codec_6,3,0,0,0,0,6,0,2,5,5,0,0,1,0,7
codec_8,9,0,1,0,0,12,0,2,7,7,0,0,1,0,9
collections_25,2,0,0,0,0,6,0,2,6,5,0,0,1,0,7
compress_10,3,0,0,5,0,11,0,3,9,7,0,5,1,0,6
compress_11,2,0,0,0,0,4,0,0,3,5,0,0,0,0,7
compress_2,4,0,0,0,0,13,0,2,10,7,0,2,1,0,14
compress_20,6,0,0,2,0,11,0,4,10,5,0,1,3,0,13
compress_22,19,1,1,0,0,16,0,2,5,7,0,1,11,0,20
compress_29,16,1,0,3,4,38,0,18,20,17,0,6,24,0,25
compress_3,1,0,0,0,0,6,0,2,3,4,0,1,1,0,10
compress_33,2,0,0,0,0,6,0,0,5,4,0,1,0,0,9
compress_34,3,0,0,4,0,10,0,2,6,5,0,0,7,0,9
compress_35,2,1,0,0,0,10,0,3,5,5,0,0,1,0,7
compress_39,2,0,0,0,0,4,0,0,3,5,0,0,0,0,6
compress_4,2,0,0,0,0,8,0,2,8,6,0,0,1,0,9
compress_40,19,0,1,0,0,10,0,0,2,6,0,0,4,0,14
compress_42,2,0,0,1,0,7,0,0,7,5,0,0,0,0,7
compress_43,2,0,0,0,0,8,0,2,2,8,0,0,1,0,8
compress_47,2,0,0,0,0,5,0,0,4,4,0,1,1,0,8
compress_6,1,0,0,0,0,5,0,0,3,5,0,0,1,0,7
compress_9,11,1,1,0,0,11,0,4,2,6,0,1,0,0,20
csv_13,3,0,0,0,0,6,0,0,4,7,0,0,0,0,7
csv_16,2,0,0,0,0,3,0,2,3,5,0,0,1,0,9
csv_7,2,0,0,0,0,6,0,1,2,5,0,0,0,0,7
csv_8,2,0,0,0,0,5,0,2,4,6,0,0,2,0,7
gson_1,8,1,0,6,0,13,0,4,6,9,0,4,8,0,8
gson_14,2,0,0,0,0,5,0,0,3,6,0,0,2,0,9
gson_3,6,0,0,4,0,7,0,2,5,7,0,0,0,0,8
gson_4,4,1,0,5,0,7,0,3,9,6,0,0,1,0,11
gson_7,4,0,0,3,0,6,0,2,5,6,0,0,0,0,9
gson_8,2,0,0,0,0,6,0,1,2,9,0,0,1,0,11
gson_9,34,2,1,10,0,29,0,21,14,13,0,0,6,0,8
jacksoncore_1,2,0,0,0,0,8,0,0,4,5,0,0,0,0,8
